No	分類	確認観点	確認内容	確認手順	期待結果	結果	備考
1	画面表示	初期表示	タスク一覧画面が正常に表示されること	https://mock-task-app.example.com/Projects/＜ProjectId＞/Tasks にアクセスする	画面が正常表示され、タイトル・説明文・戻るリンク・一覧・各種ボタンが表示される	OK	Chromeシークレットウィンドウで確認
2	画面表示	タイトル表示	案件名を含むタイトルが正しく表示されること	画面上部のタイトルを確認する	案件名＋「/ タスク」の形式で表示される	OK	文言崩れがないこと
3	画面表示	説明文表示	状態遷移チェックに関する説明文が表示されること	画面上部の説明文を確認する	状態遷移チェックに関する説明文が表示される	OK	文言差異がないこと
4	画面表示	戻るリンク	戻るリンクが表示され、案件一覧へ戻れること	戻るリンクを押下する	案件一覧画面へ遷移する	OK	戻る導線確認
5	画面表示	一覧表示	タスク一覧に必要項目が表示されること	一覧領域を確認する	タスク名、状態、必要項目が一覧表示される	OK	複数件データで確認
6	画面表示	0件表示	タスク0件でも空状態表示が適切であること	タスク0件案件の画面を開く	空状態表示が適切で、崩れがない	OK	0件データ準備時のみ確認
7	画面表示	1件表示	タスク1件でもレイアウトが崩れないこと	タスク1件案件の画面を開く	一覧レイアウトが崩れず表示される	OK	1件データ準備時のみ確認
8	画面表示	複数件表示	複数件でもレイアウトが崩れないこと	複数件案件の画面を開く	一覧が崩れず表示される	OK	複数件データで確認
9	画面表示	長文表示	長いタスク名や説明でも表示崩れしないこと	長文データを含む画面を開く	折返しや表示が適切で崩れない	OK	CSS修正観点
10	状態表示	状態表示	各状態が正しい文言・見た目で表示されること	各状態のデータを表示する	ToDo / Doing / Blocked / Done が想定どおり表示される	OK	各状態データで確認
11	操作	詳細遷移	対象行からタスク詳細へ遷移できること	任意のタスク詳細導線を押下する	対象タスクの詳細画面へ遷移する	OK	主要導線確認
12	操作	新規作成導線	新規タスク作成画面へ遷移できること	新規作成ボタンを押下する	新規タスク作成画面へ遷移する	OK	主要導線確認
13	操作	CSV出力ダイアログ	CSV出力ダイアログが表示されること	CSV出力ボタンを押下する	CSV出力ダイアログが表示される	OK	ダイアログ表示確認
14	操作	CSV出力実行	CSVが正常に出力できること	CSV出力ダイアログから出力を実行する	CSVファイルが正常に出力される	OK	ファイル出力確認
15	異常系	不正状態操作	不正な状態遷移時にエラー表示されること	不正な状態変更操作を行う	エラー表示され、想定外更新されない	OK	権限制御や状態遷移制御確認
16	異常系	データ取得失敗	取得失敗時に利用者向けエラー表示がされること	バックエンド停止等で取得失敗を再現する	未処理例外画面にならず、利用者向けエラーメッセージが表示される	OK	再現可能な場合のみ確認
17	境界系	件数境界	件数が多い場合でも一覧表示が崩れないこと	件数の多い案件で画面を表示する	一覧表示やレイアウトが崩れない	OK	必要に応じて確認
18	境界系	文字数境界	長い案件名・長いタスク名でも崩れないこと	長い案件名・タスク名データで表示する	タイトル・一覧ともに表示崩れしない	OK	長文データで確認
19	共通影響	CSS影響	site.css等の変更が他画面へ悪影響を与えていないこと	案件一覧画面、ログイン画面等を表示確認する	他画面に想定外の崩れがない	OK	関連画面確認
20	共通影響	JS影響	projects-tasks.jsの変更が対象機能へ悪影響を与えていないこと	CSV出力、一覧操作、関連ボタン操作を確認する	対象機能に異常がない	OK	該当変更がある場合のみ確認
21	画面遷移	関連画面遷移	案件一覧、タスク詳細、新規作成画面との遷移が成立すること	各導線を順に確認する	関連画面との遷移が正常に行える	OK	一連導線確認
22	ログ	異常ログ	重大なエラーログが継続出力されていないこと	反映後にアプリケーションログを確認する	重大なエラーログが継続出力されていない	OK	確認可能な場合のみ
