No	大分類	小分類	確認観点	対象画面	確認内容	優先度	備考
1	レイアウト	全体配置	画面全体のレイアウトが崩れていない	ログイン画面, 一覧画面, 編集画面	ヘッダー・本文・フッターの位置関係、横幅、はみ出しを確認する	A	共通レイアウト影響確認
2	レイアウト	余白	主要要素の余白が不自然でない	ログイン画面, 編集画面	見出し、入力欄、ボタン、注意文言の上下左右余白を確認する	B	入力系画面中心
3	表示	文字	文字サイズ・色・太さが想定どおり	ログイン画面, 一覧画面, 詳細画面, 編集画面	タイトル、ラベル、本文、注意文言の表示を確認する	A	文言変更時も確認対象
4	表示	ボタン	主要ボタンの見た目が崩れていない	ログイン画面, 一覧画面, 編集画面, 確認モーダル	色、サイズ、配置、活性/非活性表示を確認する	A	共通ボタン影響確認
5	表示	入力欄	入力欄の見た目が崩れていない	ログイン画面, 編集画面	テキストボックス、セレクト、チェックボックスの枠線、高さ、配置を確認する	A	共通入力部品影響確認
6	表示	一覧表示	一覧系部品が見切れず表示される	一覧画面	列幅、行高、折り返し、ヘッダー表示、横スクロールを確認する	A	一覧系代表観点
7	表示	メッセージ	メッセージ表示が読み取れる	ログイン画面, 編集画面, 確認モーダル	エラー、注意、完了メッセージの位置と見え方を確認する	A	バリデーション表示含む
8	操作	入力操作	入力操作に支障がない	ログイン画面, 編集画面	フォーカス、入力、選択、チェック操作を確認する	A	見た目だけでなく操作も確認
9	操作	ボタン操作	主要ボタンが正常に押下できる	ログイン画面, 一覧画面, 編集画面, 確認モーダル	検索、登録、更新、戻る、実行ボタンの押下を確認する	A	主要導線とセットで確認
10	導線	画面遷移	主要導線に影響がない	一覧画面, 詳細画面, 編集画面	一覧→詳細、戻る、登録後遷移、更新後遷移を確認する	A	導線確認は優先度高
11	共通部品	ヘッダー/メニュー	共通部品への影響がない	一覧画面, 詳細画面, 編集画面	共通ヘッダー、メニュー、パンくずの表示崩れや位置ずれを確認する	A	関連画面へ横展開
12	共通部品	モーダル	モーダル表示に問題がない	確認モーダル	表示位置、重なり順、背景オーバーレイ、閉じる操作を確認する	B	モーダル利用画面で確認
13	回帰	関連画面	同系統画面へ波及していない	一覧画面, 編集画面	共通部品を利用している関連画面を再確認する	A	不具合発生時の横展開用
14	個別観点	ログイン固有	説明文・補助文言の配置が崩れていない	ログイン画面	説明文、補助リンク、注意文言の位置関係を確認する	B	画面固有観点
15	個別観点	一覧固有	検索条件エリアと一覧エリアの区切りが明確	一覧画面	検索条件、検索ボタン、一覧結果の視認性を確認する	B	一覧画面固有観点
16	個別観点	編集固有	必須表示と入力補助が正しく見える	編集画面	必須マーク、補助文言、入力例、エラーメッセージの位置を確認する	A	入力画面固有観点
17	個別観点	詳細固有	参照項目の整列が崩れていない	詳細画面	ラベルと値の位置、折り返し、項目間余白を確認する	B	詳細画面固有観点
18	個別観点	モーダル固有	確認メッセージと操作ボタンの関係が分かりやすい	確認モーダル	メッセージ文言、ボタン配置、キャンセル導線を確認する	B	誤操作防止観点
