No	起点画面	変更対象部品	共通/個別	関連画面	関連機能	確認観点	確認内容	優先度	確認結果	エビデンスNo	備考
1	対象画面	入力欄	共通	ログイン画面	フォーム入力	UI表示	入力欄の高さ、余白、ラベル位置、プレースホルダー表示に崩れがないこと	高	未確認		
2	対象画面	入力欄	共通	一覧画面	検索フォーム	UI表示	検索欄の高さ、文字位置、枠線、横並び表示に崩れがないこと	高	未確認		
3	対象画面	ボタン	共通	ログイン画面	主操作ボタン	UI表示	主操作ボタンの高さ、文字位置、強調表現、非活性表示が不自然でないこと	高	未確認		
4	対象画面	ボタン	共通	一覧画面	検索／クリア／再読込	UI表示	複数ボタン並び時の余白、境界、文字切れがないこと	高	未確認		
5	対象画面	ボタン	共通	詳細／入力画面	登録／更新／戻る	UI表示	主要ボタンと補助ボタンの見分けがつき、崩れがないこと	中	未確認		
6	対象画面	メッセージ表示	共通	一覧画面	成功／エラー通知	UI表示	成功・エラー・警告メッセージの位置、背景色、余白に問題がないこと	高	未確認		
7	対象画面	メッセージ表示	共通	入力画面	入力エラー表示	UI表示	バリデーションメッセージが想定位置に表示され可読性に問題がないこと	高	未確認		
8	対象画面	バッジ	共通	一覧画面	状態表示	UI表示	状態バッジ、優先度バッジの余白、文字位置、角丸表示が崩れないこと	中	未確認		
9	対象画面	テーブル	共通	一覧画面	一覧表示	UI表示	表ヘッダ、セル余白、行高さ、横スクロール有無に問題がないこと	中	未確認		
10	対象画面	モーダル	共通	モーダル利用画面	確認ダイアログ	UI表示／操作	ダイアログ枠、ボタン、閉じる操作、背景クリック制御が正しいこと	中	未確認		
11	対象画面	レスポンシブ	共通	主要画面全般	狭幅表示	UI表示	狭幅時に主要要素が重なりすぎず、操作不能にならないこと	中	未確認		
12	対象画面	リンク色／文字色	共通	一覧画面	リンク導線	UI表示	リンク文字色、ホバー、可読性が他画面で不自然にならないこと	低	未確認		
13	対象画面	共通JS連動部品	共通	対象機能利用画面	ローディング／ダイアログ／CSV等	UI表示／操作	共通JSと連動する表示や操作に不整合がないこと	高	未確認		
14	対象画面	対象外整理	整理	全体	対象外機能	整理	今回の変更対象外画面・対象外機能を明記して過剰確認を避けること	中	未確認		
