No	区分	対象機能	ファイル分類	ファイルパス	新規/修正/削除	変更内容	反映要否	備考
1	画面	対象画面	View	＜ファイルパス＞	修正	画面表示、レイアウト、導線、一覧、メッセージ等のUI修正	要	
2	処理	対象機能	PageModel / Controller / Service	＜ファイルパス＞	修正	一覧取得、登録、更新、削除、例外時表示などの処理修正	要	
3	CSS	共通	Stylesheet	＜ファイルパス＞	修正	共通スタイル調整	要	他画面影響確認要
4	CSS	対象画面	Stylesheet	＜ファイルパス＞	新規/修正	画面専用スタイル追加・調整	要	該当変更がある場合のみ反映対象
5	JS	共通	JavaScript	＜ファイルパス＞	修正	共通スクリプト調整	要	他画面影響確認要
6	JS	対象画面	JavaScript	＜ファイルパス＞	修正	対象画面固有の導線、ダイアログ、出力、一覧操作等の調整	要	該当変更がある場合のみ反映対象
7	設定	対象機能	Config	＜ファイルパス＞	修正	設定値変更	要	反映先環境注意
8	SQL	対象機能	Database	＜ファイルパス＞	新規/修正	DDL / DML / ストアド変更	要	実行順序要確認
9	資料	対象画面	Document	＜ファイルパス＞	修正	修正概要資料更新	不要	本番反映対象外
10	資料	対象画面	Document	＜ファイルパス＞	修正	修正差分表更新	不要	本番反映対象外
11	資料	対象画面テスト	Document	＜ファイルパス＞	修正	総合テスト計画書更新	不要	本番反映対象外
12	資料	対象画面テスト	Document	＜ファイルパス＞	修正	確認観点一覧更新	不要	本番反映対象外
13	資料	対象画面テスト	Document	＜ファイルパス＞	修正	総合テストケース更新	不要	本番反映対象外
14	資料	対象画面テスト	Document	＜ファイルパス＞	修正	実施結果更新	不要	本番反映対象外
15	画像	対象画面	Image	＜ファイルパス＞	追加/更新	Before画面キャプチャ	不要	本番反映対象外
16	画像	対象画面	Image	＜ファイルパス＞	追加/更新	After画面キャプチャ	不要	本番反映対象外
17	資料	対象画面リリース	Document	＜ファイルパス＞	新規/修正	本番移行手順書作成・更新	不要	本番反映対象外
18	資料	対象画面リリース	Document	＜ファイルパス＞	新規/修正	差分資材一覧作成・更新	不要	本番反映対象外
19	資料	対象画面リリース	Document	＜ファイルパス＞	新規/修正	反映後確認チェックリスト作成・更新	不要	本番反映対象外
20	資料	対象画面リリース	Document	＜ファイルパス＞	新規/修正	切り戻し手順書作成・更新	不要	本番反映対象外
