No	大分類	小分類	確認観点	確認内容	判定基準	優先度	代表画面	備考
1	レイアウト	全体配置	画面全体のレイアウトが崩れていない	ヘッダー・本文・フッターの位置関係や幅が想定どおりであること	表示崩れ、重なり、はみ出しがない	A	ログイン画面	共通レイアウト影響確認用
2	レイアウト	余白	主要要素の余白が不自然でない	見出し、入力欄、ボタン、表などの上下左右余白を確認する	過不足のある余白や詰まりがない	B	編集画面	
3	表示	文字	文字サイズ・色・太さが想定どおり	タイトル、ラベル、本文、注意文言の表示を確認する	可読性に問題がなく、意図しない変更がない	A	ログイン画面	
4	表示	ボタン	ボタンの見た目が崩れていない	主要ボタンの色、サイズ、配置、活性/非活性表示を確認する	視認性・操作性に問題がない	A	編集画面	
5	表示	入力欄	入力欄の見た目が崩れていない	テキストボックス、セレクト、チェックボックス等を確認する	枠線、幅、高さ、配置に問題がない	A	編集画面	
6	表示	表・一覧	一覧系部品が見切れず表示される	ヘッダー、行高、列幅、折り返しなどを確認する	文字切れ、列崩れ、不要スクロールがない	A	一覧画面	一覧系画面の代表観点
7	操作	入力操作	入力操作に支障がない	フォーカス、入力、選択、チェック操作を確認する	入力不能や視認しづらい状態がない	A	編集画面	
8	操作	ボタン操作	主要ボタンが正常に押下できる	検索、登録、更新、戻るなど主要操作を確認する	押下不能、見失い、誤操作を誘発しない	A	編集画面	
9	メッセージ	エラー表示	エラーや注意メッセージが正しく見える	バリデーションや業務メッセージの位置・見え方を確認する	文言が隠れず、認識可能である	A	編集画面	
10	共通部品	ヘッダー/メニュー	共通部品への影響がない	共通ヘッダー、メニュー、パンくずなどを確認する	関連画面でも同様の崩れがない	A	一覧画面	関連画面への横展開確認用
11	導線	画面遷移	主要導線に影響がない	一覧→詳細、戻る、登録後遷移などを確認する	導線が崩れず操作継続できる	A	一覧画面	主要導線は優先確認対象
12	回帰	関連画面	影響範囲内の関連画面に問題がない	同系統画面・共通部品利用画面を確認する	横展開で同種不具合が出ていない	A	一覧画面	波及確認用
