No	区分	サブ区分	確認対象	確認内容	確認種別	優先度	実施要否	結果	エビデンスNo	不具合票No	備考
1	初期表示	画面表示	画面全体	初期表示時に画面全体のレイアウト崩れ、文字切れ、要素欠けがないこと	変更箇所確認	高	実施	未実施			
2	初期表示	見出し	画面タイトル・説明文	タイトル、説明文、注釈文が設計どおり表示され、視認性に問題がないこと	変更箇所確認	中	実施	未実施			
3	初期表示	共通部品	ヘッダー・フッター・共通枠	共通部品の表示位置、余白、背景、文字色に不自然な崩れがないこと	影響確認	中	実施	未実施			
4	入力／選択	入力欄	テキスト入力欄	ラベル、入力欄、プレースホルダー、フォーカス表示が正しく、入力しづらさがないこと	変更箇所確認	高	実施	未実施			
5	入力／選択	選択部品	セレクトボックス・チェックボックス	選択部品の高さ、文字位置、選択状態表示に問題がないこと	変更箇所確認	中	必要時	未実施			
6	入力／選択	入力制御	必須・桁数・入力制限	入力制御が想定どおり動作し、UI上でも分かりやすく表示されること	変更箇所確認	高	必要時	未実施			
7	操作／導線	主操作	主操作ボタン	主操作ボタンが識別しやすく、押下可能状態・非活性状態が正しいこと	変更箇所確認	高	実施	未実施			
8	操作／導線	補助操作	補助ボタン・リンク	補助操作ボタン、戻るリンク、再読込、クリア等が設計どおり動作すること	変更箇所確認	中	実施	未実施			
9	操作／導線	画面遷移	主要導線	主要な画面遷移が想定どおり行え、遷移先で崩れや不整合がないこと	変更箇所確認	高	実施	未実施			
10	結果表示	成功時	成功メッセージ	成功時メッセージの文言、表示位置、色、余白が適切であること	変更箇所確認	中	必要時	未実施			
11	結果表示	異常時	エラーメッセージ	エラーメッセージが想定位置に表示され、可読性に問題がないこと	変更箇所確認	高	必要時	未実施			
12	結果表示	状態表示	ローディング・件数・バッジ	ローディング表示、件数表示、状態バッジ等が見やすく表示されること	変更箇所確認	中	必要時	未実施			
13	操作不可確認	非活性	disabled制御	操作不可項目が誤って操作可能になっていないこと	変更箇所確認	高	必要時	未実施			
14	権限制御	表示差分	権限別表示	権限ごとに表示・非表示が正しく切り替わること	変更箇所確認	高	必要時	未実施			
15	条件分岐	0件／1件／複数件	件数差分表示	データ件数差に応じて一覧、メッセージ、ページャ等が正しく表示されること	変更箇所確認	中	必要時	未実施			
16	条件分岐	長文／特殊値	長文・特殊ケース	長文、空文字、特殊値表示でレイアウト崩れや文字欠けがないこと	変更箇所確認	中	必要時	未実施			
17	影響確認	関連画面	関連画面表示	変更に関連する他画面で表示崩れや操作不整合がないこと	影響確認	高	実施	未実施			
18	影響確認	共通部品	共通入力欄・共通ボタン・共通メッセージ	共通部品変更により他画面へ意図しない影響が出ていないこと	影響確認	高	実施	未実施			
19	影響確認	レスポンシブ	狭幅表示	狭幅時に主要要素が重なりすぎず、操作不能にならないこと	影響確認	中	必要時	未実施			
20	影響確認	モーダル／ダイアログ	ダイアログ表示	モーダルやダイアログの表示、閉じる操作、背景制御に問題がないこと	影響確認	中	必要時	未実施			
21	異常系	通信異常	取得失敗時表示	取得失敗時に未処理例外画面ではなく利用者向け表示となること	変更箇所確認	高	必要時	未実施			
22	異常系	不正パラメータ	パラメータ異常時	不正パラメータ時に想定どおりのメッセージまたは遷移となること	変更箇所確認	中	必要時	未実施			
23	証跡	エビデンス	スクリーンショット採番	実施結果に対応するエビデンス番号を採番・記録できること	証跡整理	中	実施	未実施			
24	総括	対象外整理	今回対象外	今回の変更対象外機能を明記し、過剰確認を避けること	整理	中	実施	未実施			
