No	分類	確認観点	確認内容	確認手順	期待結果	結果	備考
1	画面表示	初期表示	対象画面が正常に表示されること	対象URLへアクセスする	画面が正常表示され、主要要素が表示される		
2	画面表示	タイトル表示	タイトルが正しく表示されること	画面上部のタイトルを確認する	タイトルが想定どおり表示される		
3	画面表示	説明文表示	説明文や注釈が正しく表示されること	画面上部や注記領域を確認する	説明文や注釈が想定どおり表示される		
4	画面表示	主要導線	戻るリンクや主要導線が利用できること	主要リンク・主要ボタンを押下する	関連画面へ正常遷移する		
5	画面表示	一覧表示	一覧に必要項目が表示されること	一覧領域を確認する	必要項目が一覧表示される		
6	画面表示	0件表示	0件時でも空状態表示が適切であること	0件データ条件で画面を開く	空状態表示が適切で崩れがない		必要時のみ確認
7	画面表示	1件表示	1件時でもレイアウトが崩れないこと	1件データ条件で画面を開く	一覧レイアウトが崩れず表示される		必要時のみ確認
8	画面表示	複数件表示	複数件でもレイアウトが崩れないこと	複数件データ条件で画面を開く	一覧が崩れず表示される		
9	画面表示	長文表示	長文データでも表示崩れしないこと	長文データを含む画面を開く	折返しや表示が適切で崩れない		CSS修正観点
10	状態表示	状態表示	状態やラベルが正しく表示されること	状態付きデータを表示する	想定どおりの文言・見た目で表示される		各状態データで確認
11	操作	詳細遷移	対象行から詳細画面へ遷移できること	詳細導線を押下する	対象詳細画面へ遷移する		
12	操作	新規作成導線	新規作成画面へ遷移できること	新規作成ボタンを押下する	新規作成画面へ遷移する		必要時のみ確認
13	操作	CSV出力ダイアログ	CSV出力ダイアログが表示されること	CSV出力ボタンを押下する	ダイアログが表示される		必要時のみ確認
14	操作	CSV出力実行	CSVが正常に出力できること	CSV出力ダイアログから出力を実行する	CSVファイルが正常に出力される		必要時のみ確認
15	異常系	不正操作	不正操作時に想定どおりエラー表示されること	不正な操作を行う	エラー表示され、想定外更新されない		権限制御や状態遷移制御確認
16	異常系	データ取得失敗	取得失敗時に利用者向けエラー表示がされること	取得失敗条件を再現する	未処理例外画面にならず、利用者向けメッセージが表示される		再現可能な場合のみ確認
17	境界系	件数境界	件数が多い場合でも一覧表示が崩れないこと	件数の多い条件で表示する	一覧表示やレイアウトが崩れない		必要に応じて確認
18	境界系	文字数境界	長い名称や説明でも崩れないこと	長文データで表示する	タイトルや一覧表示が崩れない		
19	共通影響	CSS影響	共通CSS等の変更が他画面へ悪影響を与えていないこと	関連画面を表示確認する	他画面に想定外の崩れがない		関連画面確認
20	共通影響	JS影響	共通JSや対象JS変更が対象機能へ悪影響を与えていないこと	関連機能を確認する	対象機能に異常がない		該当変更がある場合のみ確認
21	画面遷移	関連画面遷移	関連画面との遷移が成立すること	各導線を順に確認する	関連画面との遷移が正常に行える		一連導線確認
22	ログ	異常ログ	重大なエラーログが継続出力されていないこと	反映後にアプリケーションログを確認する	重大なエラーログが継続出力されていない		確認可能な場合のみ
23	完了確認	確認結果総括	反映後確認結果が整理されていること	結果欄と備考欄を確認する	確認結果が記録され、未確認項目が明確である		
